단어,포함된 문장
반일충,"좆시탈, 미스터느그매샤인같은 유사 드라마로 역사왜곡 + 사랑의 좆시착으로 북한년들 미화 반일충+조총련간첩 환장의 콜라보"
발리더,인도랑 육탄전 붙으면 짱깨가 쳐발리더만 왤케 나대노 - dc App
밥위,밥위에다 생선쪼가리 올리면서 뒤지게 염병떠노 ㅋㅋㅋㅋㅋㅋ
버튜버,"펨코같은 좆선족 사이트는 동성애, 마라탕, 탕후루, 버튜버 혐오하면 틀딱이라는 글이 베댓이던데 ㄹㅇ 무지성 틀딱프레임 씌우는 새끼들 조선족인게 맞는거같음"
보벙,오 보벙 발한다
부정표,저거 가는척하다 부정표 만들고 돌아온다 ㅋㅋ 카메라 있으니까 하는척하는거
불지름,팩트)) 한국에선 옆집 나무집이 내거보다 이쁘다?  ㅇㅇ 밤에 불지름
블라스퍼머스,블라스퍼머스 삘 나네
블루아카,일단 글을 봤을때 기분이 나쁘거나 여장충이 있으면 대개 블루아카이브 갤러리네
블루아카,사회성 없는 씹덕들 뭐 얼마나 대단한 게임 만들었나 했더만 블루아카 ㅋㅋㅋㅋㅋㅋㅋ
블아,같은 블아하는 놈들도 손절하노
비밀정보,비밀정보를 태우는 총이 아니라 그냥 총이잖아 ㅋㅋㅋㅋ
비틱질,비틱질의 최후지 ㅉㅉ
비틱질,비틱질 하는새끼는 처절한 응징을 해야된다. 삶의 교훈을 주는 만화네
비틱질,비틱질한 업보지 뭐 ㅋㅋㅋㅋ
비틱질,비틱질은 사형이지  - dc App
비틱질,네실이 비틱질ㅋㅋㅋㅋ
빈낭,시발년 기만하네. 인도에서 외국나왔다는 것 자체가 일반인들이랑 마주칠일 없는 금수저 집안임 한국에서 침?? 인도 빤(한자로는 빈낭)이라는 씹어먹는 열매 씹고 빨간 침이 온 세상에 뿌려져 있는데 인도년이 한국에서 침??
샛기,미개한샛기들;
샤안,"샤안머스켓 껍질이 너무 질겨서 그냥 거봉, 사파이어포도 먹거나 샤인은 얼려먹음. 얼려먹으면 맛있더라"
샤안머스켓,"샤안머스켓 껍질이 너무 질겨서 그냥 거봉, 사파이어포도 먹거나 샤인은 얼려먹음. 얼려먹으면 맛있더라"
선거통,나중에 달에 살면 달까지 선거통 짊어지고 가겠네
소짱깨,ㅋㅋ 다케시마를 자기네 땅이라고 우기고 니혼카이를 동해라고 우기는 소짱깨도 시진핑님을 더욱 분발하자!
순살아파트,순살아파트 ㅋㅋ
시진핑핑,시진핑핑이는 무슨 섬을 만들어놨네
실배,뭐임? 이딴 게 왜 실배?
실배,오 실배
실시간베스트,실시간베스트에 합격되셨습니다.
아리마카나,디시도태남들 특징)김채원 우정잉 아리마카나 이딴거 빨아서 이런 배우상들보고 남상이라그럼 ㅋㅋㅋㅋ
아리마카나,일뽕이라면서 코마츠나나같은애들보다 김채원이 이쁘다는게 디시일뽕들 수준임 ㅋㅋㅋ 그러니 여캐도 아리마카나같은걸 이쁘다 빠는거 ㅇㄴ
아리마카나,디시식 미의기준)김채원 은하 케이 우정잉 이딴것들이 미인 고로 위에있는 애들 무시함 무조건 지들이 빠는 러블리즈식 동남아상이 무조건 옳고 그게 스시녀 그자체임 고로 코마츠나나같은 진짜 이쁜 일본여자보다 김채원같은애들이 이쁘다고 스시녀상이라 우김 그러니 2d캐도 사쿠라 루키아 하이바라 아리마카나같은거 빠는거 ㅇㅇ
애국소비,애국소비 촉구하려고 주작하던 짱깨새끼들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
어디서도,이게 말이 되냐 ㅎㅎㅎ 순저히 남편 아이디어와 농업노하우로 850억 투자 받았고 년200억 매출인데 10억 먹고 떨어지라고? 850억에 대충 1% 먹고 떨어지라는 소리네? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 여자 웃긴다 내가 남편이였으면 이러저런 억울한 사정 설명하고 술먹은 뒤에 홧김에 저질렀다고 자수한다음에 감옥가서 20년 살고 나온다 초기투자금 뭐 얼마나 들어갔겠냐 어디서도 충분히 조달할만한 금액일테고 사업에서 푼돈 몇푼 제외하고 대부분을 자기 손으로 이뤄냈을텐데 상대방 대충 1000억 먹고 나보고 10억 먹고 떨어지라고 그걸 가만히 보고 있냐? 평생 배 아프면서 살아야하는데 사는게 사는게 아니지 그냥 죽이고 감옥 다녀온다 술먹고 그냥 차로 박아버리면 무기징역 나온거 본적이 없다 무조건 출소됨
역스퍼거,버스퍼거 철스퍼거 역스퍼거 밀스퍼거
영끌족,영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ
영끌족,"영끌족의 진짜 문제는 바로 저런점임.대출이 제한되기 때문에 가족,지인 온갖곳에서 다 끌어모은다 이말이지.저럴 경우 잘못되면 혼자 죽는게 아니라 다같이 죽는거"
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
예수천국,예수천국 불신지옥 - 아멘
올리지,아니 씨발 느그갤만아는것좀 올리지마라 개씨발알바개유미터진년아
올리지,철지난  gif로 올리지 말라고 무거워
올챙,딴 거 다 집어치우고 근육 <- 이게 남성성의 제일 중요한 척도니까 남성성 강한 남자 거를 거면 앞으로 헬스하는 근육질 남자 거르고 멸치올챙이배 or 0.1톤 돼지들만 만나라^^
와캬퍄,와캬퍄
왕릉뷰,아구아고 아쿠아고간에 피카소가 건물을 지어도 법 제정된 다음에 법 개무시하고 지으면 헐어야지 미관이고 느금마고 핑계된다고 봐주면 법 왜있냐? 한두번 봐주면 국내 건설사들이 저 선례 들먹이면서 얼마나 미쳐날뛸지 눈에 빤히 보인다. 저 왕릉뷰아파튼지 뭐지는 정확하게 잘 모르겠지만 저것도 법제정된 다음에 개무시하고 지은거면 헐어야지.
왕릉뷰,법대로면 철거맞고 새로 지어야하는게 맞지 근데 개좃같은 왕릉뷰는 왜 철거안함?
욕함,팩트)리움미술관이나 ddp는 줬나게 욕함  ddp나 가봐라
윤두창,조센 관저는 남영동급이네 저기서 윤두창 고문하면 딱이겠노
윤두창,제목 윤두창이란느줄 알고 들어왓는데 윤동주 동창이노
윤두창,영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ 영끌족 윤두창 ㅋㅋㅋ
윤두창,"윤두창, 룸쌀롱창녀쥴리"
윤두창,윤두창이랑 줄리년이 해외여행 다니며 돈쓰는동안 일가족은 돈때문에 자살해버렸네
자재값,한국 아파트 웃긴게 처음 어떻게 지을지 몰라서 튼튼하게 지은 아파트가 더 좋고 최신 아파트 씨발 가격만 비싸고 발망치로 밑에 사는 새끼가 칼들고 찾아옴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그런거 사고 싶으면 10억ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ지방도 3~4억 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ인건비 타령 자재값 타령ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ현실은 외노자가 짓고 자재값도 충분히 예측 가능하게 1년치 가격 다 알려준다고함ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ대충 지어도 팔리니까 대충 짓다가 아파트 가격 너무 비싸지고 병신같이 지어서 건설회사들 줄도산 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ해결법으로 나라에서 해줘라 떼쓰는중
저걸,저거 울 어머님 척추협착증 수술하고 난뒤에 간호사가 단백질 영양액 맞을거냐고 물어봤는데 얼마냐고 물어보니 비급여라 한팩에 8만원? 10만원?이었음걍 하나 놔달라고 했음 어머님이 수술 후에 마취깨면 항상 토 하시는 민감성 체질이라 입으로 식사 못할 것 같아서 걍 수액으로 맞게 근대 정치적 목적을 달성하려고 단식하는 정치인에게는 저걸 맞아야할 아무런 명분이 없지 그럼 죽으라는거냐? 라는 이재명 지지자들은 인간인지가 궁금
저걸,열등한 옐로 몽키의 췌장은 저걸 쳐먹는 순간 수명 -10년이다 ㅋㅋㅋㅋ
저걸,미국에 진짜 슈퍼비만들 돌아다니는 이유가 있었네.. 만든놈도 그렇고 저걸 사먹는 놈도 그렇고
저걸,두입먹으면 물릴거같은데 저걸다먹나
저걸,와 시발 저걸 다 뜯어가노
저걸,블박을 팔아야지 저걸 왜팜
저걸,그냥 아재 패션인데 누기 사노 저걸 ㅋ
저걸,한보람은 ㅅㅂ저걸 왜찍어주노 ㅋㅋㅋ나름 연예인인데 자기가치 자기가 깎아내릲
저걸,진짜 개좆같은 나라임 ㅋㅋㅋㅋ 일본이면 저걸로 관광수익 오지게 뽑으면서 백년 뒤에도 유지했을 텐데
저시기,영국이 저시기에 일본이랑 싸운적이 있었나..? 저때 이미 개화하지 않았음?
저양반,저양반은 AGI 언제 등장한다함?
저양반,저양반 처음에야 어느정도 좋은 뜻으로 유튜브 시작했는데 지금은 그냥 걍 바이럴임
젖보똥,근데 그래픽담당이면 그냥 그림 그리는 새끼들 아님? 그냥 젖보똥 깐 여캐나 만들줄 알면 되지 걔들이 게임을 뭐하러 알아야됨? 진짜 모름...
좆대남,좆마카세 = 좆대남 인스타 가오잡기용 1툴 음식 ㅋㅋ
좆선,시발 좆 같은 좆 같은 개쌍 틀니 좆선좆 짱개새끼가
좆선,"펨코같은 좆선족 사이트는 동성애, 마라탕, 탕후루, 버튜버 혐오하면 틀딱이라는 글이 베댓이던데 ㄹㅇ 무지성 틀딱프레임 씌우는 새끼들 조선족인게 맞는거같음"
좆선,좆선좆=짱깨=바퀴벌레
좆선,좆선말 ㅋ
좆선,14퍼는 모태친중 1찍 좆팔육좆포티한녀좆선족 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
좆선,와 개좆선 씨발새끼들아
좆선,뭔 아메리깜 할배 나오는데 좆선이 등판하노 ㅋ
